,vender,url,product,description,image,live,price,quantity
13,CannonKeys,https://cannonkeys.com/products/gateron-cj-linear-switch?_pos=37&_fid=c9a0afe91&_ss=c,Gateron CJ Linear Switch,"CannonKeys is proud to offer Gateron China Joy (CJ) Linear Switches! These unique gateron switches offer an ink top housing, and opaque POM bottom housing. The housing is paired with a POM stem and 60g spring to bring you an extremely smooth stock switch, that takes well to modding if needed. Like the color and materia",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/cj_1_1024x1024_2x_81e356be-9404-40cd-852d-d4bbb5598945_1200x1200.png?v=1644431689,True,$45.50,70
14,CannonKeys,https://cannonkeys.com/products/mm-switch-top-housings?_pos=43&_fid=c9a0afe91&_ss=c,MM Switch Top Housings,"MM Switch Top Housings are part of the MM Switch Series, a series of custom linear switch parts manufactured by JWK available in several materials and colors!",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/tops-combo_1200x1200.png?v=1662657373,True,$7.50,Pink | Modified POM
15,CannonKeys,https://cannonkeys.com/products/seal-linear-switch-by-minterly?_pos=47&_fid=c9a0afe91&_ss=c,Seal Linear Switch by Minterly,"In collaboration with Minterly, we're happy to bring you a new heavy linear switch from JWK! These switches were designed by Minterly to match her perferences (heavy spring!) and produced by JWK. We're happy to be offering you these great looking switches! Like the color and materials but want to customize the feel and",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/seal-hero-3_1200x1200.png?v=1637190060,True,$42.00,70
16,CannonKeys,https://cannonkeys.com/products/blush-light-tactile-switch?_pos=5&_fid=c9a0afe91&_ss=c,Blush Light Tactile Switch,Blush Lights feature a lovely pink-red tinted housing paired with a POM stem. Comes pre-lubed with a two-staged spring.,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC09583-Edit_1200x1200.jpg?v=1675361952,True,$45.50,70
17,CannonKeys,https://cannonkeys.com/products/cherry-blossom-linear-switch?_pos=30&_fid=c9a0afe91&_ss=c,Cherry Blossom Linear Switch,CannonKeys is proud to offer Cherry Blossom Linear Switches! The Cherry Blossom Linear Switch is a full POM linear switch manufactured by Durock. The housing is paired with a P3 stem and 65g spring weight for a smooth experience.  Like the color and materials but want to customize the feel and sound? Check out our slow,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/blossom-new_1200x1200.png?v=1648782308,True,$49.00,70
18,CannonKeys,https://cannonkeys.com/products/ttc-bluish-white-tactile-switch?_pos=40&_fid=c9a0afe91&_ss=c&variant=39836325511279,TTC Bluish White Tactile Switch,"CannonKeys is proud to bring you TTC Bluish White Tactile Switches! Produced by TTC, bluish whites are a lovely shade of blue, and offer a mild tactile bump about 0.5mm into travel. This combined with the muted bottom out and low spring weight make for a very unique tactile experience.  Like the color and materials but",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/TTCBlue_Hero_1200x1200.png?v=1626918688,True,$43.20,70
19,CannonKeys,https://cannonkeys.com/products/gateron-baby-raccoon-linear-switch?_pos=2&_fid=c9a0afe91&_ss=c,Gateron Baby Raccoon Linear Switch,The Gateron Baby Raccoon Linear Switch is RGB friendly and features a longer pole for a unique and smooth typing experience!,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/BabyRacoonHero_1200x1200.jpg?v=1676051272,True,$38.50,70
20,CannonKeys,https://cannonkeys.com/products/aeboards-naevy-tactile-switch-r2?_pos=24&_fid=c9a0afe91&_ss=c,AEBoards Naevy Tactile Switch R2 (40),"Naevy R2 tactile switch by is the latest version by AEBoards, updated with new materials and other improvements. Available only in packs of 40.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/Naevies_1200x1200.png?v=1658438272,True,$18.00,
21,CannonKeys,https://cannonkeys.com/products/cherry-mx-red-linear-switch?_pos=20&_fid=c9a0afe91&_ss=c,Cherry MX Red Hyperglide Linear Switch,Cherry MX Hyperglide Red linear switch.,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/cherry-red-hero_7776c93c-b9d3-4178-bc8d-3b61beedae99_1200x1200.png?v=1658514284,True,$26.60,70
22,CannonKeys,https://cannonkeys.com/products/gateron-cap-golden-yellow-v2?_pos=36&_fid=c9a0afe91&_ss=c&variant=40633759989871,Gateron Cap Golden Yellow V2 Linear Switch,"This new batch of Gateron Cap V2 switches use a newer mold that reduces stem wobble, while still using the unique hollow stem and long spring from the V1.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/gat-cap-gold-hero_994d9981-e5ed-4273-baf5-afbfb6d66e02_1200x1200.png?v=1634866603,True,$43.20,70
