,vender,url,product,description,image,live,in_stock,prices
20,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/cherry-copper,Cherry Copper,Designed by fatboycarney.,http://cdn.shopify.com/s/files/1/3099/8088/products/NK_PBTCopper_16x9-TILE_1200x1200.jpg?v=1670270615,True,IN STOCK,$95
21,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/ghostbustin,Ghostbustin',"No ghost, specter, or haunt will ever be safe again! Get in the ghost busting mood with our Officially Licensed Ghostbusters keycap set.",http://cdn.shopify.com/s/files/1/3099/8088/products/Ghostbustin_Tile_1200x1200.jpg?v=1664461848,True,IN STOCK,$99
22,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/cherry-spellbook,Cherry Spellbook,"You wander the halls of a seemingly empty castle, and a spiral staircase leads you to the tallest turret. At the top, you come upon a closed book, which glows an enthralling blue. You open the tome, and your mind is consumed by visions of arcane grandeur. When the otherworldly fog finally lifts, you find yourself on a ",http://cdn.shopify.com/s/files/1/3099/8088/products/Spellbook_16x9-Tile_1200x1200.jpg?v=1661182251,True,IN STOCK,$95
23,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-striker-2,GMK Striker 2,A tribute to the Japanese National Football Team. Back for a second round. Designed by Zambumon.,http://cdn.shopify.com/s/files/1/3099/8088/products/striker_1200x1200.jpg?v=1666968942,True,LIMITED STOCK,$135
24,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-colorchrome,GMK Colorchrome,Monochromatic with a splash of color. Designed by Full.  ,http://cdn.shopify.com/s/files/1/3099/8088/products/colorchrome_3710ad96-629a-4f4b-ab8c-6b839ba18ec5_1200x1200.jpg?v=1666968926,True,LIMITED STOCK,$135
25,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-serika-2,GMK Serika 2,"Zambumon’s beige and yellow set is back for a second iteration with greater layout support, revamped novelties, and two full-size core kits with either Hiragana or Latin only alphas.  ",http://cdn.shopify.com/s/files/1/3099/8088/products/Serika_6cfd8bc8-7f1c-4aa4-86c9-b0e5be0e0931_1200x1200.jpg?v=1656439366,True,LIMITED STOCK,$135
26,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-mr-sleeves-r2,GMK Mr. Sleeves R2,Introducing GMK Mr. Sleeves R2. Designed by Taeha Types.    ,http://cdn.shopify.com/s/files/1/3099/8088/products/Mr.Sleeves_33d13238-0e75-490e-a52d-64cae20d4df6_1200x1200.jpg?v=1665676672,True,LIMITED STOCK,$75
27,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-dots-r2,GMK Dots R2,"The most minimalistic of minimalistic sets is back, now in dark &amp; light colorways.  ",http://cdn.shopify.com/s/files/1/3099/8088/products/GMK_Dots-render_boop-02_1200x1200.jpg?v=1662470114,True,LIMITED STOCK,$135
28,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-bento-r2,GMK Bento R2,"GMK Bentō (inspired by the Japanese culture, and the iconic/typical home-packed meal called 'Bento [弁当]') returns!  ",http://cdn.shopify.com/s/files/1/3099/8088/products/bento-revival-tile_1200x1200.jpg?v=1676038295,True,LIMITED STOCK,$165
29,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-yuri-r2,GMK Yuri R2,Introducing GMK Yuri R2. Designed by T0mb3ry.   ,http://cdn.shopify.com/s/files/1/3099/8088/products/Yuri2_1200x1200.png?v=1655665444,True,LIMITED STOCK,$140
30,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-honor,GMK Honor,"Introducing GMK Honor, a calmer and more subtle version of GMK Bushidō. Designed by biip.    ",http://cdn.shopify.com/s/files/1/3099/8088/products/GMK_Honor_Tile_1200x1200.jpg?v=1652964938,True,LIMITED STOCK,$125
31,NovelKeys LLC,https://novelkeys.com/collections/keycaps/products/gmk-mudbeam,GMK Mudbeam,"Designed by scud80, this is a keyset inspired by the Mudbeam colorway from Hunger Work Studios.  ",http://cdn.shopify.com/s/files/1/3099/8088/products/MudbeamTile_1200x1200.jpg?v=1652109434,True,LIMITED STOCK,$165
