,vender,url,product,description,image,price,live
1,DangKeebs,https://dangkeebs.com/collections/keycaps/products/epbt-charcoal,EPBT Charcoal,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTCharcoal_Final_1200x1200.jpg?v=1615432504,$69.00,False
2,DangKeebs,https://dangkeebs.com/collections/keycaps/products/epbt-blumen,EPBT Blumen,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTBlumen_Final_1200x1200.jpg?v=1615432014,$69.00,False
7,DangKeebs,https://dangkeebs.com/collections/keycaps/products/pbtfans-white-on-black-wob,PBTFans White on Black (WoB),"PBTFans White on Black is a classic set that's perfect for those who like to keep it simple. These keycaps are made using double-shot PBT which means the legends are created using a ""shot"" of plastic to ensure they never fade. Additionally, like all PBTFans sets, the keycaps include a hard ABS keycap tray for storage! ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/PBTFansWoBCover_1200x1200.jpg?v=1672564433,$75.00,False
10,DangKeebs,https://dangkeebs.com/collections/keycaps/products/epbt-orange-dolch,EPBT Orange Dolch,EPBT Orange Dolch features an earthy chocolate brown base with contrasting orange legends. Specifications: ABS plastic Double-shot legends Cherry profile 165 Keys,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTOrangeDolch_1200x1200.jpg?v=1664096377,$69.00,False
13,DangKeebs,https://dangkeebs.com/collections/keycaps/products/pbtfans-kabuki-cho,PBTFans Kabuki-Cho,"PBTFans Kabuki-Cho is inspired by the entertainment district in Shinjuku, Japan. It is the irreplaceable landmark of how a nightlight city like Tokyo could be. Sometimes the hustle and bustle you ever want to fit in.  Specifications:  Material: PBT Profile: Cherry Production Method: Doubleshot/Tripleshot for JP Sub-Leg",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/Kabuki-ChoCover_1200x1200.jpg?v=1667373687,$29.00,False
18,DangKeebs,https://dangkeebs.com/collections/keycaps/products/epbt-shark-bait,EPBT Shark Bait,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTSharkBait_Final_1200x1200.jpg?v=1615432242,$69.00,False
19,DangKeebs,https://dangkeebs.com/collections/keycaps/products/epbt-pink-on-black,EPBT Pink on Black,Specifications: ABS plastic Double-shot legends Cherry profile 153 Keys,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/ePBTPinkonblack_1200x1200.jpg?v=1632632095,$69.00,False
23,DangKeebs,https://dangkeebs.com/collections/keycaps/products/epbt-white-on-black,EPBT White On Black,Specifications: ABS plastic Double-shot legends Cherry profile 153 keys,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTWOB_1200x1200.jpg?v=1627349568,$69.00,False
24,DangKeebs,https://dangkeebs.com/collections/keycaps/products/pbtfans-dolch,PBTFans Dolch,PBTFans Dolch reimagines a timeless keycap colorway. This double-shot retro grey set featuring bright green and red accents is a must-have in any collection.  Specifications:  Material: PBT Profile: Cherry Production Method: Doubleshot Manufacturer: PBTfans Packaging: Hard ABS Keycaps Tray Compatibility: Compatible wit,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/PBTFansDolchCover_1200x1200.jpg?v=1669100096,$80.00,False
29,DangKeebs,https://dangkeebs.com/collections/keycaps/products/thok-diamond-artisan,THOK Diamond Artisan,DSA profile White resin infill Colour-shift powder-coated Machined from solid aluminum,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/THOKDiamondArtisan_1200x1200.jpg?v=1642457992,$45.00,False
