,vender,url,product,description,image,price,in_stock,kit,quantity
106,Dangkeebs,https://dangkeebs.com/collections/switches/products/jwick-taro,Jwick Taro,"Jwick Taros feature T1 tactility in a creamy colorway inspired by a tropical plant. They utilize new molds to minimize housing and stem wobble, and a dustproof stem to extend longevity.    Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile Stem: POM  Top Housing: Polycarbonate Bottom H",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2356_1200x1200.jpg?v=1662860506,$5.50,Add to cart,Default Title," Jwick Taros feature T1 tactility in a creamy colorway inspired by a tropical plant. They utilize new molds to minimize housing and stem wobble, and a dustproof stem to extend longevity.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile
Stem: POM 

Top Housing: Polycarbonate

Bottom Housing: Nylon

Spring: 67g bottom out

3.7mm travel 
PCB mount (5 pin)

Unlubed "
107,Dangkeebs,https://dangkeebs.com/collections/switches/products/cherry-brown,Cherry - Brown,Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile 4.0mm travel 45g actuation PCB mount (5-pin) UNLUBED  ,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0835_1200x1200.jpg?v=1619243406,$4.00,Sold out,Default Title  - Sold out," Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile

4.0mm travel
45g actuation
PCB mount (5-pin)
UNLUBED       "
108,Dangkeebs,https://dangkeebs.com/collections/switches/products/jwick-yellow,Jwick Yellow,"Jwick Yellows are part of JWK's budget line of switches. These switches offer JWK quality at an affordable price and feature the classic combination of polycarbonate top housing, PA66 bottom housing, and POM stem. In terms of spring weight, they're the heaviest currently offered in Jwick's linear line-up. They're also ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2029_1200x1200.jpg?v=1655078740,$2.30,Add to cart,Default Title," Jwick Yellows are part of JWK's budget line of switches. These switches offer JWK quality at an affordable price and feature the classic combination of polycarbonate top housing, PA66 bottom housing, and POM stem. In terms of spring weight, they're the heaviest currently offered in Jwick's linear line-up. They're also lightly pre-lubed and ready to go!    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
Stem: POM 

Top Housing: Polycarbonate

Bottom Housing: PA66

Spring: 65g bottom out

PCB mount (5 pin)

Lightly pre-lubed    Sound Test:     "
109,Dangkeebs,https://dangkeebs.com/collections/switches/products/gateron-yellow-ink-v2,Gateron Yellow Ink V2,"Gateron Yellow Ink V2's are from Gateron's premium line of switches. They feature a unique housing material and coated spring.  These switches are highly regarded within the community, and arguably one of the smoothest linears. However, unlike their red, and black counterparts, these switches feature a shorter travel d",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_8275-3_1200x1200.jpg?v=1604938165,$7.50,Add to cart,Default Title," Gateron Yellow Ink V2's are from Gateron's premium line of switches. They feature a unique housing material and coated spring.  These switches are highly regarded within the community, and arguably one of the smoothest linears. However, unlike their red, and black counterparts, these switches feature a shorter travel distance of 3.5mm compared to the usual 4.0mm.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear
Top Housing: INK
Bottom Housing: INK
Stem: POM
3.5mm travel
60g actuation / 67g bottom out
Transparent housing
5 pin "
110,Dangkeebs,https://dangkeebs.com/collections/switches/products/strawberry-jelly-v2,Strawberry Jelly V2,"Strawberry Jelly V2's are inspired by pink strawberry-flavored jelly. They utilize the classic combination of polycarbonate top housing, POM stem, and nylon bottom housing. They feature a long pole stem and a 20mm spring. These features together provide a snappy typing experience with a solid bottom out characteristic ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1769-2_1200x1200.jpg?v=1653438347,$4.10,Sold out,Default Title  - Sold out," Strawberry Jelly V2's are inspired by pink strawberry-flavored jelly. They utilize the classic combination of polycarbonate top housing, POM stem, and nylon bottom housing. They feature a long pole stem and a 20mm spring. These features together provide a snappy typing experience with a solid bottom out characteristic of long pole switches.  Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Linear 
Stem: Polyoxymethylene (POM) 
Top Housing: Polycarbonate

Bottom Housing: Nylon

Spring: 55g (bottom out) extended spring 

3.9mm travel / 2.0mm actuation
Plate mount (3-pin)


UNLUBED from factory
Designed by Aregs Keyboard and LD studios
Manufactured by Huano    Sound Test:      International Vendors:  US: You're here!

CA: AlphaKeys


EU: Keygem


UK: ProtoTypist


Oceania: Keebz n' Cables


Malaysia: Teddo     "
111,Dangkeebs,https://dangkeebs.com/collections/switches/products/durock-pom-t1-67g,Durock Pom T1 - 67g,Durock POM T1's utilize a proprietary POM blend in both the housing and stem of the switch. This unique material provides deeper acoustic properties without sacrificing the smooth feel of Durock switches.    Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile 4.0mm travel Stem: POM blen,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0975_1200x1200.jpg?v=1621475235,$7.00,Add to cart,Default Title," Durock POM T1's utilize a proprietary POM blend in both the housing and stem of the switch. This unique material provides deeper acoustic properties without sacrificing the smooth feel of Durock switches.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile

4.0mm travel
Stem: POM blend

Top Housing: POM blend

Bottom Housing: POM blend

Spring: Gold plated 67g (bottom out)

PCB mount (5 pin)


UNLUBED from factory     "
112,Dangkeebs,https://dangkeebs.com/collections/switches/products/durock-silent-t1,Durock Silent T1 (Shrimp),"Durock Silent T1's are the silent version of Durock's popular T1 switch. They feature a turquoise housing, white stem, and silencing ring to mitigate sound. Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Silent Tactile 4.0mm travel Stem: POM with silencing ring Top Housing: Polycarbonate B",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_9899-2_1200x1200.jpg?v=1628396859,$7.00,Sold out,Default Title  - Sold out," Durock Silent T1's are the silent version of Durock's popular T1 switch. They feature a turquoise housing, white stem, and silencing ring to mitigate sound. Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Silent Tactile
4.0mm travel
Stem: POM with silencing ring

Top Housing: Polycarbonate

Bottom Housing: Nylon

Spring: Gold plated 67g (bottom out)

PCB mount (5 pin)
﻿Lightly Pre-lubed     "
113,Dangkeebs,https://dangkeebs.com/collections/switches/products/tecsee-ice-milk,Tecsee Ice Milk,Tecsee Ice Milk's utilize a long pole stem and feature a sharp tactile bump with minimal pre-travel. They incorporate UHMWPE in the top housing and stem resulting in a dampened top and bottom out sound. Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile Top Housing: UHMWPE Bottom Housi,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_1972_1200x1200.jpg?v=1655081099,$5.00,Sold out,Default Title  - Sold out," Tecsee Ice Milk's utilize a long pole stem and feature a sharp tactile bump with minimal pre-travel. They incorporate UHMWPE in the top housing and stem resulting in a dampened top and bottom out sound. Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile
Top Housing: UHMWPE
Bottom Housing: Nylon
Stem: UHMWPE
63.5g Dual stage spring (Bottom out)
3.8mm total travel
5 pin (PCB Mount)
Manufactured by Tecsee     "
114,Dangkeebs,https://dangkeebs.com/collections/switches/products/dusk-panda-tactile,Dusk Panda - Tactile,"Switches are sold in packs of 10. Quantity 1 = 10 switches.  Specifications: Tactile Top Housing: Polycarbonate Bottom Housing: Polycarbonate Stem: Custom POM stem (Not a Halo or YOK Purple stem, similar to a T1 stem) 67g spring 5 pin (PCB Mount) UNLUBED from factory Designed by AlphaKeys",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_0142-4_1200x1200.jpg?v=1614125864,$6.00,Sold out,Default Title  - Sold out," Switches are sold in packs of 10.  Quantity 1 = 10 switches.  Specifications:  Tactile
Top Housing: Polycarbonate 
Bottom Housing: Polycarbonate
Stem: Custom POM stem (Not a Halo or YOK Purple stem, similar to a T1 stem)
67g spring
5 pin (PCB Mount) 
UNLUBED from factory
Designed by AlphaKeys   "
115,Dangkeebs,https://dangkeebs.com/collections/switches/products/mamba,Mamba,"Mamba Switches pay tribute to a legend. They're constructed with the extremely smooth molds the community is familiar with from JWK. They feature an extended long pole stem made of LY for exceptionally satisfying bottom-out feel and acoustics. This is coupled with an improved factory lubing technique, making them argua",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/IMG_2389_1200x1200.jpg?v=1662434981,$6.50,Add to cart,Default Title," Mamba Switches pay tribute to a legend. They're constructed with the extremely smooth molds the community is familiar with from JWK. They feature an extended long pole stem made of LY for exceptionally satisfying bottom-out feel and acoustics. This is coupled with an improved factory lubing technique, making them arguably great without modding.  What is LY?  LY is an UHMWPE blend made by JWK aimed to combine UHMWPE's natural lower coefficient of friction, self-lubricating properties, and resistance to abrasion with enhanced structural integrity. UHMWPE on its own is an extremely soft material prone to deforming in instances of high stress such as when stems are friction fitted into keycaps. This can result in wobble, or in extreme cases keycaps simply falling off. This blend ensures those issues do not occur. Additionally, the increased rigidity will produce a louder, fuller sound on bottom-out than a comparable pure UHMWPE stem.    Switches are sold in packs of 10.  Quantity 1 = 10 switches.Specifications:  Linear
Top Housing: Nylon
Bottom Housing: POM
Stem: LY (13.45mm extended long pole)
Gold plated extended long spring
3.5mm travel
60g bottom out
5 pin (PCB Mount)

Lightly pre-lubed from factory
Manufactured by JWK    Sound Test: "
